TMO_AN,TMO_VS,TMO_EN,TMO_BG,TMO_CB,TMO_VB,Dop_AN,Dop_EN,Dop_AR,Dop_MF,FE
26,2.67,1.83,0.2,-0.1,0.2,28,1.91,1.24,0.05,0.8794
26,2.67,1.83,0.2,-0.1,0.2,28,1.91,1.24,0.055,0.8838
26,2.67,1.83,0.2,-0.1,0.2,28,1.91,1.24,0.06,0.888
26,2.67,1.83,0.2,-0.1,0.2,28,1.91,1.24,0.065,0.8914
26,2.67,1.83,0.2,-0.1,0.2,28,1.91,1.24,0.07,0.8948
26,2.67,1.83,0.2,-0.1,0.2,28,1.91,1.24,0.075,0.8977
26,2.67,1.83,0.2,-0.1,0.2,28,1.91,1.24,0.08,0.9001
26,2.67,1.83,0.2,-0.1,0.2,28,1.91,1.24,0.085,0.9023
26,2.67,1.83,0.2,-0.1,0.2,28,1.91,1.24,0.09,0.9041
26,2.67,1.83,0.2,-0.1,0.2,28,1.91,1.24,0.095,0.9056
26,2.67,1.83,0.2,-0.1,0.2,28,1.91,1.24,0.1,0.9067
26,2.67,1.83,0.2,-0.1,0.2,29,1.9,1.28,0.01,0.7044
26,2.67,1.83,0.2,-0.1,0.2,29,1.9,1.28,0.015,0.7596
26,2.67,1.83,0.2,-0.1,0.2,29,1.9,1.28,0.02,0.7989
26,2.67,1.83,0.2,-0.1,0.2,29,1.9,1.28,0.025,0.8254
26,2.67,1.83,0.2,-0.1,0.2,29,1.9,1.28,0.03,0.8446
26,2.67,1.83,0.2,-0.1,0.2,29,1.9,1.28,0.035,0.8581
26,2.67,1.83,0.2,-0.1,0.2,29,1.9,1.28,0.04,0.868
26,2.67,1.83,0.2,-0.1,0.2,29,1.9,1.28,0.045,0.876
26,2.67,1.83,0.2,-0.1,0.2,29,1.9,1.28,0.05,0.8822
26,2.67,1.83,0.2,-0.1,0.2,29,1.9,1.28,0.055,0.8865
26,2.67,1.83,0.2,-0.1,0.2,29,1.9,1.28,0.06,0.89
26,2.67,1.83,0.2,-0.1,0.2,29,1.9,1.28,0.065,0.8932
26,2.67,1.83,0.2,-0.1,0.2,29,1.9,1.28,0.07,0.8966
26,2.67,1.83,0.2,-0.1,0.2,29,1.9,1.28,0.075,0.8996
26,2.67,1.83,0.2,-0.1,0.2,29,1.9,1.28,0.08,0.9021
26,2.67,1.83,0.2,-0.1,0.2,29,1.9,1.28,0.085,0.9043
26,2.67,1.83,0.2,-0.1,0.2,29,1.9,1.28,0.09,0.9061
26,2.67,1.83,0.2,-0.1,0.2,29,1.9,1.28,0.095,0.9077
26,2.67,1.83,0.2,-0.1,0.2,29,1.9,1.28,0.1,0.909
26,2.67,1.83,0.2,-0.1,0.2,30,1.65,1.34,0.01,0.7086
26,2.67,1.83,0.2,-0.1,0.2,30,1.65,1.34,0.015,0.7629
26,2.67,1.83,0.2,-0.1,0.2,30,1.65,1.34,0.02,0.8009
26,2.67,1.83,0.2,-0.1,0.2,30,1.65,1.34,0.025,0.8272
26,2.67,1.83,0.2,-0.1,0.2,30,1.65,1.34,0.03,0.8459
26,2.67,1.83,0.2,-0.1,0.2,30,1.65,1.34,0.035,0.8598
26,2.67,1.83,0.2,-0.1,0.2,30,1.65,1.34,0.04,0.8702
26,2.67,1.83,0.2,-0.1,0.2,30,1.65,1.34,0.045,0.8783
26,2.67,1.83,0.2,-0.1,0.2,30,1.65,1.34,0.05,0.8842
26,2.67,1.83,0.2,-0.1,0.2,30,1.65,1.34,0.055,0.8881
26,2.67,1.83,0.2,-0.1,0.2,30,1.65,1.34,0.06,0.8914
26,2.67,1.83,0.2,-0.1,0.2,30,1.65,1.34,0.065,0.8946
26,2.67,1.83,0.2,-0.1,0.2,30,1.65,1.34,0.07,0.8978
26,2.67,1.83,0.2,-0.1,0.2,30,1.65,1.34,0.075,0.9005
26,2.67,1.83,0.2,-0.1,0.2,30,1.65,1.34,0.08,0.9031
26,2.67,1.83,0.2,-0.1,0.2,30,1.65,1.34,0.085,0.9054
26,2.67,1.83,0.2,-0.1,0.2,30,1.65,1.34,0.09,0.9074
26,2.67,1.83,0.2,-0.1,0.2,30,1.65,1.34,0.095,0.909
26,2.67,1.83,0.2,-0.1,0.2,30,1.65,1.34,0.1,0.9104
26,2.67,1.83,0.2,-0.1,0.2,44,2.2,1.34,0.01,0.7399
26,2.67,1.83,0.2,-0.1,0.2,44,2.2,1.34,0.015,0.7815
26,2.67,1.83,0.2,-0.1,0.2,44,2.2,1.34,0.02,0.8143
26,2.67,1.83,0.2,-0.1,0.2,44,2.2,1.34,0.025,0.8384
26,2.67,1.83,0.2,-0.1,0.2,44,2.2,1.34,0.03,0.8558
26,2.67,1.83,0.2,-0.1,0.2,44,2.2,1.34,0.035,0.8689
26,2.67,1.83,0.2,-0.1,0.2,44,2.2,1.34,0.04,0.8798
26,2.67,1.83,0.2,-0.1,0.2,44,2.2,1.34,0.045,0.8883
26,2.67,1.83,0.2,-0.1,0.2,44,2.2,1.34,0.05,0.8949
